SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_name,player_id,season,minutes_last_7_days,minutes_last_28_days,acute_chronic_ratio,days_rest,is_back_to_back,back_to_back_count_month,injured_next_14_days
22021,1628389,0022100662,2022-01-17,MIA vs. TOR,W,32,4,12,0.333,0,0,0.0,6,7,0.857,3,6,9,2,1,1,2,1,14,6,1,Bam Adebayo,1628389,2021-22,226.0,,,49.0,0,,0
22021,1628389,0022100672,2022-01-19,MIA vs. POR,W,32,8,12,0.667,0,0,0.0,4,7,0.571,2,9,11,4,5,3,3,2,20,-1,1,Bam Adebayo,1628389,2021-22,228.0,,,2.0,0,,0
22021,1628389,0022100687,2022-01-21,MIA @ ATL,L,34,7,13,0.538,0,0,0.0,7,7,1.0,1,5,6,5,1,1,3,3,21,8,1,Bam Adebayo,1628389,2021-22,233.0,,,2.0,0,,0
22021,1628389,0022100700,2022-01-23,MIA vs. LAL,W,33,6,10,0.6,0,0,0.0,2,2,1.0,1,7,8,5,1,1,5,6,14,8,1,Bam Adebayo,1628389,2021-22,235.0,,,2.0,0,,0
22021,1628389,0022100727,2022-01-26,MIA vs. NYK,W,31,3,7,0.429,0,0,0.0,0,0,0.0,3,5,8,11,2,1,3,3,6,18,1,Bam Adebayo,1628389,2021-22,230.0,,,3.0,0,,0
22021,1628389,0022100738,2022-01-28,MIA vs. LAC,W,36,7,14,0.5,0,0,0.0,6,7,0.857,2,10,12,4,1,0,3,1,20,11,1,Bam Adebayo,1628389,2021-22,233.0,,,2.0,0,,0
22021,1628389,0022100748,2022-01-29,MIA vs. TOR,L,45,5,12,0.417,0,0,0.0,4,7,0.571,7,9,16,1,3,2,6,5,14,-8,1,Bam Adebayo,1628389,2021-22,243.0,,,1.0,1,,0
22021,1628389,0022100762,2022-01-31,MIA @ BOS,L,32,5,11,0.455,0,0,0.0,2,3,0.667,2,3,5,5,3,1,2,4,12,-20,1,Bam Adebayo,1628389,2021-22,243.0,,,2.0,0,,0
22021,1628389,0022100784,2022-02-01,MIA @ TOR,L,35,13,17,0.765,0,1,0.0,6,7,0.857,4,7,11,2,2,1,2,4,32,-2,1,Bam Adebayo,1628389,2021-22,246.0,,,1.0,1,,0
22021,1628389,0022100521,2022-02-03,MIA @ SAS,W,31,7,13,0.538,0,1,0.0,4,6,0.667,2,9,11,3,4,0,1,4,18,26,1,Bam Adebayo,1628389,2021-22,243.0,933.0,1.0418006430868167,2.0,0,4.0,0
22021,1628389,0022100797,2022-02-05,MIA @ CHA,W,28,7,21,0.333,0,0,0.0,6,7,0.857,3,9,12,3,3,2,3,1,20,17,1,Bam Adebayo,1628389,2021-22,238.0,938.0,1.0149253731343284,2.0,0,4.0,0
22021,1628389,0022100811,2022-02-07,MIA @ WAS,W,24,7,11,0.636,0,0,0.0,7,8,0.875,1,6,7,4,1,0,3,3,21,10,1,Bam Adebayo,1628389,2021-22,231.0,923.0,1.0010834236186348,2.0,0,4.0,0
22021,1628389,0022100833,2022-02-10,MIA @ NOP,W,36,13,21,0.619,0,0,0.0,3,4,0.75,6,4,10,1,3,0,1,1,29,25,1,Bam Adebayo,1628389,2021-22,231.0,930.0,0.9935483870967742,3.0,0,4.0,0
